lang,latitude,longitude
und,39.12507,2.563782
und,37.107832,-7.005353
und,37.107832,-7.005353
und,38.347783,-0.866027
und,40.055263,0.084066
it,39.799157,4.202715
es,41.51714,1.943749
es,43.278867,-6.0201
es,36.516968,-6.306111
es,43.301377,-8.471284
es,28.024813,-15.525504
es,40.312071,-3.889005
es,37.137275,-3.810999
es,43.319954,-3.037149
es,41.336062,2.086323
es,37.313613,-6.02843
es,40.312071,-3.889005
es,37.1481,-6.06368
es,36.635585,-4.587928
es,40.183126,-4.143765
es,28.024813,-15.525504
es,42.12938,-8.916355
es,40.475009,-3.94958
es,41.506472,2.046492
es,40.248107,-3.519844
es,40.312071,-3.889005
en,40.274335,0.295386
en,41.317048,2.052477
ca,42.150116,2.446113
ca,41.51714,1.943749
tl,41.42594,2.211092
bg,36.519213,-4.636376
