state,id,meanSent
Alabama,1,1
Alaska,2,0
Arizona,3,0
Arkansas,4,0
California,5,2
Colorado,6,0
Connecticut,7,0
Delaware,8,0
Florida,9,0
Georgia,10,-4
Hawaii,11,0
Idaho,12,2
Illinois,13,0
Indiana,14,0
Iowa,15,0
Kansas,16,0
Kentucky,17,0
Louisiana,18,0
Maine,19,0
Maryland,20,1
Massachusetts,21,0
Michigan,22,-2
Minnesota,23,-1
Mississippi,24,0
Missouri,25,0
Montana,26,0
Nebraska,27,0
Nevada,28,0
New Hampshire,29,0
New Jersey,30,2
New Mexico,31,0
New York,32,0
North Carolina,33,0
North Dakota,34,-3
Ohio,35,-1
Oklahoma,36,4
Oregon,37,2
Pennsylvania,38,3
Rhode Island,39,0
South Carolina,40,0
South Dakota,41,0
Tennessee,42,0
Texas,43,0
Utah,44,0
Vermont,45,0
Virginia,46,0
Washington,47,0
West Virginia,48,0
Wisconsin,49,0
Wyoming,50,0
